attribute_id,selection_id,category,trait_name,file
0,0,Head,head-dark-1,TheSaudis_Traits\Head\head-dark-1.png
0,1,Head,head-dark-2,TheSaudis_Traits\Head\head-dark-2.png
0,2,Head,head-darker-1,TheSaudis_Traits\Head\head-darker-1.png
0,3,Head,head-darker-2,TheSaudis_Traits\Head\head-darker-2.png
0,4,Head,head-light-1,TheSaudis_Traits\Head\head-light-1.png
0,5,Head,head-light-2,TheSaudis_Traits\Head\head-light-2.png
1,0,Hair,buzzcut,TheSaudis_Traits\Hair\buzzcut.png
1,1,Hair,long,TheSaudis_Traits\Hair\long.png
1,2,Hair,messy,TheSaudis_Traits\Hair\messy.png
1,3,Hair,widowspeak,TheSaudis_Traits\Hair\widowspeak.png
2,0,Facial_Hair,clean-shaven,TheSaudis_Traits\Facial_Hair\clean-shaven.png
2,1,Facial_Hair,light-black-beard,TheSaudis_Traits\Facial_Hair\light-black-beard.png
2,2,Facial_Hair,luxurious-black-beard,TheSaudis_Traits\Facial_Hair\luxurious-black-beard.png
2,3,Facial_Hair,luxurious-brown-beard,TheSaudis_Traits\Facial_Hair\luxurious-brown-beard.png
2,4,Facial_Hair,luxurious-white-beard,TheSaudis_Traits\Facial_Hair\luxurious-white-beard.png
2,5,Facial_Hair,messy-black-beard,TheSaudis_Traits\Facial_Hair\messy-black-beard.png
2,6,Facial_Hair,messy-brown-beard,TheSaudis_Traits\Facial_Hair\messy-brown-beard.png
2,7,Facial_Hair,messy-white-beard,TheSaudis_Traits\Facial_Hair\messy-white-beard.png
2,8,Facial_Hair,mustache,TheSaudis_Traits\Facial_Hair\mustache.png
2,9,Facial_Hair,normal-black-beard,TheSaudis_Traits\Facial_Hair\normal-black-beard.png
2,10,Facial_Hair,normal-brown-beard+mustache,TheSaudis_Traits\Facial_Hair\normal-brown-beard_mustache.png
2,11,Facial_Hair,normal-brown-beard,TheSaudis_Traits\Facial_Hair\normal-brown-beard.png
2,12,Facial_Hair,normal-white-beard,TheSaudis_Traits\Facial_Hair\normal-white-beard.png
2,13,Facial_Hair,shadow-beard+mustache,TheSaudis_Traits\Facial_Hair\shadow-beard_mustache.png
2,14,Facial_Hair,shadow-beard,TheSaudis_Traits\Facial_Hair\shadow-beard.png
2,15,Facial_Hair,short-grey-beard,TheSaudis_Traits\Facial_Hair\short-grey-beard.png
2,16,Facial_Hair,short-white-beard,TheSaudis_Traits\Facial_Hair\short-white-beard.png
2,17,Facial_Hair,sideburns,TheSaudis_Traits\Facial_Hair\sideburns.png
2,18,Facial_Hair,stylish-mustache,TheSaudis_Traits\Facial_Hair\stylish-mustache.png
2,19,Facial_Hair,stytlish-black-sideburns,TheSaudis_Traits\Facial_Hair\stytlish-black-sideburns.png
2,20,Facial_Hair,sytlish-brown-sideburns,TheSaudis_Traits\Facial_Hair\sytlish-brown-sideburns.png
3,0,Headwear,brown-shemagh+agal,TheSaudis_Traits\Headwear\brown-shemagh_agal.png
3,1,Headwear,brown-shemagh+crown,TheSaudis_Traits\Headwear\brown-shemagh_crown.png
3,2,Headwear,red-shemagh+agal,TheSaudis_Traits\Headwear\red-shemagh_agal.png
3,3,Headwear,red-shemagh+crown,TheSaudis_Traits\Headwear\red-shemagh_crown.png
3,4,Headwear,red-shemagh,TheSaudis_Traits\Headwear\red-shemagh.png
3,5,Headwear,white-shemagh+agal,TheSaudis_Traits\Headwear\white-shemagh_agal.png
3,6,Headwear,white-shemagh+gold-agal,TheSaudis_Traits\Headwear\white-shemagh_gold-agal.png
3,7,Headwear,white-shemagh+stylish-gold-agal,TheSaudis_Traits\Headwear\white-shemagh_stylish-gold-agal.png
3,8,Headwear,white-shemagh-crown,TheSaudis_Traits\Headwear\white-shemagh-crown.png
3,9,Headwear,white-shemagh,TheSaudis_Traits\Headwear\white-shemagh.png
4,0,Eyewear,3d-glasses,TheSaudis_Traits\Eyewear\3d-glasses.png
4,1,Eyewear,big-round-shades,TheSaudis_Traits\Eyewear\big-round-shades.png
4,2,Eyewear,big-shades,TheSaudis_Traits\Eyewear\big-shades.png
4,3,Eyewear,classic-shades,TheSaudis_Traits\Eyewear\classic-shades.png
4,4,Eyewear,gold-classic-shades,TheSaudis_Traits\Eyewear\gold-classic-shades.png
4,5,Eyewear,green-big-shades,TheSaudis_Traits\Eyewear\green-big-shades.png
4,6,Eyewear,green-classic-shades,TheSaudis_Traits\Eyewear\green-classic-shades.png
4,7,Eyewear,horn-rimmed-glasses,TheSaudis_Traits\Eyewear\horn-rimmed-glasses.png
4,8,Eyewear,laser-eyes-gold,TheSaudis_Traits\Eyewear\laser-eyes-gold.png
4,9,Eyewear,laser-eyes,TheSaudis_Traits\Eyewear\laser-eyes.png
4,10,Eyewear,nerd-glasses,TheSaudis_Traits\Eyewear\nerd-glasses.png
4,11,Eyewear,no-eyewear,TheSaudis_Traits\Eyewear\no-eyewear.png
4,12,Eyewear,pixel-big-shades,TheSaudis_Traits\Eyewear\pixel-big-shades.png
4,13,Eyewear,pixel-regular-shades,TheSaudis_Traits\Eyewear\pixel-regular-shades.png
4,14,Eyewear,purple-big-shades,TheSaudis_Traits\Eyewear\purple-big-shades.png
4,15,Eyewear,reflective-regular-shades,TheSaudis_Traits\Eyewear\reflective-regular-shades.png
4,16,Eyewear,reflective-square-shades,TheSaudis_Traits\Eyewear\reflective-square-shades.png
4,17,Eyewear,regular-shades,TheSaudis_Traits\Eyewear\regular-shades.png
4,18,Eyewear,rimless-glasses,TheSaudis_Traits\Eyewear\rimless-glasses.png
4,19,Eyewear,round-shades,TheSaudis_Traits\Eyewear\round-shades.png
4,20,Eyewear,small-shades,TheSaudis_Traits\Eyewear\small-shades.png
4,21,Eyewear,square-shades,TheSaudis_Traits\Eyewear\square-shades.png
4,22,Eyewear,stylish-nerd-glasses,TheSaudis_Traits\Eyewear\stylish-nerd-glasses.png
4,23,Eyewear,vr,TheSaudis_Traits\Eyewear\vr.png
5,0,Mouthpiece,bubble-gum,TheSaudis_Traits\Mouthpiece\bubble-gum.png
5,1,Mouthpiece,cigar,TheSaudis_Traits\Mouthpiece\cigar.png
5,2,Mouthpiece,cigarette-1,TheSaudis_Traits\Mouthpiece\cigarette-1.png
5,3,Mouthpiece,cigarette-2,TheSaudis_Traits\Mouthpiece\cigarette-2.png
5,4,Mouthpiece,no-mouthpiece,TheSaudis_Traits\Mouthpiece\no-mouthpiece.png
5,5,Mouthpiece,pear-wood-pipe,TheSaudis_Traits\Mouthpiece\pear-wood-pipe.png
5,6,Mouthpiece,rose-wood-pipe,TheSaudis_Traits\Mouthpiece\rose-wood-pipe.png
5,7,Mouthpiece,vape-1,TheSaudis_Traits\Mouthpiece\vape-1.png
5,8,Mouthpiece,vape-2,TheSaudis_Traits\Mouthpiece\vape-2.png
