index,filename,Background,Head,Hair,Facial Hair,Headwear,Eyewear,Mouthpiece
1,1.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),red-shemagh_crown (Rare),gold-classic-shades (Rare),pear-wood-pipe (Rare)
2,2.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),red-shemagh_crown (Rare),gold-classic-shades (Rare),rose-wood-pipe (Rare)
3,3.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),red-shemagh_crown (Rare),gold-classic-shades (Rare),gold-cigar (Legendary)
4,4.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),red-shemagh_crown (Rare),gold-visor (Rare),pear-wood-pipe (Rare)
5,5.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),red-shemagh_crown (Rare),gold-visor (Rare),rose-wood-pipe (Rare)
6,6.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),red-shemagh_crown (Rare),gold-visor (Rare),gold-cigar (Legendary)
7,7.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),red-shemagh_crown (Rare),shield-shades (Rare),pear-wood-pipe (Rare)
8,8.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),red-shemagh_crown (Rare),shield-shades (Rare),rose-wood-pipe (Rare)
9,9.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),red-shemagh_crown (Rare),shield-shades (Rare),gold-cigar (Legendary)
10,10.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),red-shemagh_crown (Rare),vr (Rare),pear-wood-pipe (Rare)
11,11.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),red-shemagh_crown (Rare),vr (Rare),rose-wood-pipe (Rare)
12,12.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),red-shemagh_crown (Rare),vr (Rare),gold-cigar (Legendary)
13,13.png,royal-sunburst (Rare),head-jinn (Rare),widowspeak (Rare),light-black-beard (Rare),red-shemagh_crown (Rare),night-vision (Rare),pear-wood-pipe (Rare)
